zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
35010,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35014,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35015,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36732,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36072,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36509,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36505,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36504,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36503,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36202,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36203,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36201,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36206,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36207,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36204,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36205,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35119,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35118,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35117,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35116,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35115,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35114,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35112,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35111,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36628,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36625,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
